                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.66133,                0.35349,                0.79688,                 0.9134,                0.86727,                0.93487,                0.74251,                0.84256,                0.85215,                 0.9664,             0.00012538,             0.00012538,             0.00012538
                     36,                0.66183,                0.34716,                0.79439,                0.94304,                0.87514,                0.94109,                0.75277,                0.83807,                0.86078,                0.95223,             0.00012351,             0.00012351,             0.00012351
                     37,                0.64866,                0.34159,                0.79513,                0.94047,                0.88076,                0.94446,                0.75905,                0.82012,                0.84926,                0.95317,             0.00012164,             0.00012164,             0.00012164
                     38,                0.66621,                0.34829,                0.79761,                0.96734,                0.83287,                0.93349,                0.74554,                0.81191,                0.85423,                0.95255,             0.00011977,             0.00011977,             0.00011977
                     39,                0.66888,                0.34316,                0.79632,                0.96266,                0.84252,                0.93942,                 0.7519,                0.81053,                0.81274,                0.95199,              0.0001179,              0.0001179,              0.0001179
                     40,                0.64228,                0.34353,                0.79437,                0.94025,                  0.832,                0.92893,                0.73068,                0.82656,                0.91628,                  0.956,             0.00011603,             0.00011603,             0.00011603
                     41,                0.65219,                0.34385,                0.79307,                0.95916,                0.87187,                0.94578,                0.75959,                0.80537,                0.79735,                0.95185,             0.00011416,             0.00011416,             0.00011416
                     42,                0.64826,                0.34057,                0.79281,                0.96164,                0.87407,                0.94474,                0.76155,                0.78946,                0.81082,                0.93763,             0.00011228,             0.00011228,             0.00011228
                     43,                 0.6415,                0.33637,                0.79795,                0.95758,                0.87627,                0.94668,                 0.7634,                0.78593,                0.80996,                0.93732,             0.00011041,             0.00011041,             0.00011041
                     44,                0.63107,                0.32621,                0.79726,                0.96246,                0.87964,                0.94827,                0.76251,                0.78378,                0.86789,                0.93904,             0.00010854,             0.00010854,             0.00010854
                     45,                0.62848,                0.32815,                0.79273,                0.94787,                0.88301,                0.94731,                0.76454,                0.80814,                  0.794,                0.95687,             0.00010667,             0.00010667,             0.00010667
                     46,                0.64469,                0.32992,                  0.792,                0.95722,                0.87402,                0.94517,                 0.7644,                0.79347,                0.79292,                 0.9485,              0.0001048,              0.0001048,              0.0001048
                     47,                0.62291,                0.32466,                0.79307,                0.96472,                0.85714,                0.94049,                 0.7553,                0.80723,                0.83581,                0.95132,             0.00010293,             0.00010293,             0.00010293
                     48,                0.62597,                0.32167,                0.79098,                 0.9299,                0.88076,                0.94156,                0.75907,                0.80788,                0.85726,                0.95103,             0.00010106,             0.00010106,             0.00010106
                     49,                0.62484,                0.32423,                0.78933,                0.93414,                0.88864,                0.94337,                0.76363,                0.80736,                0.82448,                0.95412,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     50,                0.63214,                0.32836,                0.79599,                0.93382,                0.87299,                0.94196,                0.76161,                0.80516,                0.85657,                0.95039,             9.7316e-05,             9.7316e-05,             9.7316e-05
                     51,                0.61294,                0.31551,                0.79002,                0.93814,                0.87064,                0.93992,                  0.761,                0.82599,                0.86247,                0.95631,             9.5445e-05,             9.5445e-05,             9.5445e-05
                     52,                0.61239,                0.31716,                0.79075,                0.93421,                0.87852,                0.94185,                0.75424,                0.82358,                0.85791,                0.95791,             9.3574e-05,             9.3574e-05,             9.3574e-05
                     53,                0.62445,                0.32123,                0.79382,                0.93533,                0.86226,                0.93907,                0.75315,                0.82966,                0.81377,                0.96229,             9.1703e-05,             9.1703e-05,             9.1703e-05
                     54,                0.60552,                0.31563,                0.78968,                0.93815,                0.89314,                0.94669,                0.76441,                 0.7983,                0.81691,                0.94904,             8.9832e-05,             8.9832e-05,             8.9832e-05
                     55,                0.60389,                 0.3109,                0.79221,                0.94848,                0.86969,                0.94303,                0.76597,                0.80613,                0.85269,                0.94926,             8.7961e-05,             8.7961e-05,             8.7961e-05
                     56,                0.61257,                0.31115,                0.78759,                0.93509,                0.86502,                0.93649,                0.75525,                0.81779,                 0.8581,                 0.9505,              8.609e-05,              8.609e-05,              8.609e-05
                     57,                0.60493,                 0.3137,                0.79154,                0.94467,                0.87177,                0.94451,                 0.7639,                0.80604,                 0.8328,                0.94768,             8.4218e-05,             8.4218e-05,             8.4218e-05
                     58,                0.62193,                0.31226,                0.79142,                0.93702,                0.87402,                0.94327,                0.76501,                0.79761,                0.84267,                0.94511,             8.2347e-05,             8.2347e-05,             8.2347e-05
                     59,                0.60812,                0.30481,                0.79402,                0.93583,                0.88581,                0.94268,                0.75639,                0.79124,                0.82632,                0.94155,             8.0476e-05,             8.0476e-05,             8.0476e-05
                     60,                0.61255,                0.30785,                0.78759,                0.93462,                0.88442,                0.94372,                0.76202,                0.79078,                0.83936,                0.94363,             7.8605e-05,             7.8605e-05,             7.8605e-05
                     61,                0.59843,                0.30154,                0.79115,                0.94128,                0.88358,                0.94377,                  0.763,                0.81561,                0.88272,                0.94615,             7.6734e-05,             7.6734e-05,             7.6734e-05
                     62,                0.60006,                0.30246,                0.78798,                0.94001,                0.86374,                0.93613,                0.75504,                0.78947,                0.89247,                 0.9371,             7.4863e-05,             7.4863e-05,             7.4863e-05
                     63,                0.59691,                0.30602,                0.78824,                0.93587,                0.87008,                 0.9355,                0.76127,                0.79061,                0.89303,                0.93611,             7.2992e-05,             7.2992e-05,             7.2992e-05
                     64,                0.60266,                0.30284,                0.78643,                0.93806,                0.85939,                0.93663,                0.76442,                0.78004,                0.89731,                0.93542,             7.1121e-05,             7.1121e-05,             7.1121e-05
                     65,                0.57911,                0.29425,                 0.7889,                0.92386,                0.85377,                0.92912,                0.75305,                0.80466,                0.93465,                0.94455,              6.925e-05,              6.925e-05,              6.925e-05
                     66,                0.59183,                0.30153,                0.78686,                0.94944,                0.82388,                0.92493,                0.75522,                0.79471,                0.91573,                0.94632,             6.7378e-05,             6.7378e-05,             6.7378e-05
                     67,                0.60065,                0.30083,                0.78813,                 0.9531,                0.83915,                0.93008,                0.75555,                0.79207,                0.88523,                 0.9398,             6.5507e-05,             6.5507e-05,             6.5507e-05
                     68,                0.58957,                0.29605,                0.79499,                0.94209,                0.86015,                0.93785,                0.75771,                0.80502,                0.87104,                0.94287,             6.3636e-05,             6.3636e-05,             6.3636e-05
                     69,                0.59982,                0.29895,                0.78868,                0.93544,                0.88013,                0.94232,                0.75918,                0.80413,                0.83302,                0.94631,             6.1765e-05,             6.1765e-05,             6.1765e-05
